Episode,Reward
113,-817.7630910935871
114,-913.3230706537464
115,-1399.2749508761601
116,-1254.2094088674546
117,-1704.553116871917
118,-1458.8758449570375
119,-800.3662868570121
120,-751.8435060830641
121,-1647.8668448580484
122,-1256.6126059845344
123,-1590.341221084813
124,-684.6481763460596
125,-1146.4817998786364
126,-1501.9636737272372
127,-1217.3216574312287
128,-849.5472425624955
129,-1253.2652231115792
130,-1483.2399698611086
131,-1351.0122880525298
132,-1607.6590350742847
133,-1521.4313402632924
134,-949.6748449349664
135,-1640.0225350787266
136,-878.7782589440678
137,-948.0137483792936
138,-1493.9451537458683
139,-934.3730917254059
140,-1069.6024252597804
141,-1442.1407032256764
142,-1680.836596476577
143,-1638.402632604125
144,-1295.8415777782322
145,-940.7545554544745
146,-1219.16305330662
147,-1701.6774774411106
148,-823.4736961983742
149,-808.9489695826868
150,-1772.141919273055
151,-1140.839804290622
152,-808.9869516558537
153,-1372.907469314996
154,-1667.0774168939074
155,-1695.5232165737614
156,-1677.9102169093599
157,-1346.1502167631072
158,-1223.3623583401798
159,-1139.3730623932229
160,-1654.713610963891
161,-979.2261863514273
162,-1151.2687557386173
163,-998.5287637901694
164,-1276.5918537221708
165,-1522.3464647588657
166,-915.931912410641
167,-1535.426184350173
168,-1139.1391987885795
169,-1027.709910494506
170,-806.4161407220137
171,-833.8259296322035
172,-950.0145339883887
173,-1588.1123326649729
174,-1569.9602997203328
175,-1336.673427180256
176,-1408.4698685942133
177,-1781.471615822822
178,-1167.994795581386
179,-1467.003669970637
180,-801.5393735012399
181,-836.7075288274616
182,-1435.2323605361075
183,-911.85424246904
184,-915.5681096701262
185,-827.3599484308512
186,-1051.387241455659
187,-926.0695648016334
188,-1411.6833529320575
189,-1641.5142096550812
190,-1015.4710076766378
191,-905.4365503096221
192,-1646.408049524263
193,-1376.365023186664
194,-773.3500985276808
195,-1517.9655222844021
196,-908.3008560920302
197,-908.1510738113866
198,-1501.727316696756
199,-809.4217369227908
200,-1451.5518574434975
201,-1706.0550292153341
202,-760.1768637006587
203,-1606.7275403601138
204,-920.7060280788485
205,-1150.9900194173201
206,-1270.607921388003
207,-1256.7498942270936
208,-1533.875698109999
209,-1254.4022808457937
210,-871.4164677286226
211,-818.7149014600974
212,-1159.9037501519267
213,-685.9854074705709
214,-1146.3834239416976
215,-1195.2670107409394
216,-1248.2901998805078
217,-1143.4765161394714
218,-930.732199717134
219,-1646.160913216096
220,-1051.7820981551074
221,-1378.786546555828
222,-1168.3146882364097
223,-903.5307915268125
224,-905.4626912391808
225,-1046.3371365894775
226,-702.8946252538585
227,-1512.9968553249055
228,-1271.3148529812868
229,-812.3944425255302
230,-1304.399302430514
231,-812.8355196280039
232,-1531.757466385967
233,-1763.822442761508
234,-1709.0116628740657
235,-1403.0506561457323
236,-731.2637298158683
237,-925.9254502997983
238,-1645.30130029348
239,-1726.0350129086737
240,-822.1689162592249
241,-1030.0466533574192
242,-1100.911630526055
243,-916.5051206143349
244,-1705.8844282747261
245,-1039.9545381268895
246,-1427.1523053031592
247,-1270.7784977108518
248,-1350.0405825993926
249,-908.6239862449385
250,-1320.4475913384613
251,-1309.5386459494007
252,-1102.0329042605783
253,-1180.709078869368
254,-1282.8071019839183
255,-1027.5150962787623
256,-1579.0963800377297
257,-918.5496224741167
258,-1114.6697038008047
259,-1154.4623431762905
260,-897.0212923030704
261,-1425.100532700437
262,-1316.4022541503882
263,-803.1652793787628
264,-1148.4323754203933
265,-1480.9601084874118
266,-1069.5729731585307
267,-1014.9310722280685
268,-1258.9397103761441
269,-909.0864593050542
270,-1538.6107493774994
271,-839.1891281692456
272,-1059.4893763566529
273,-1457.8235992919072
274,-1120.7015248643638
275,-1629.0824901438455
276,-1493.126470074132
277,-1783.1646627875284
278,-1310.1869370169725
279,-1385.2605801333423
280,-1266.1321714538203
281,-1066.4168407340437
282,-1212.4155760033718
283,-949.1514892505944
284,-884.0692885231099
285,-1776.1666208191239
286,-1141.7107232026074
287,-1511.5029534994198
288,-1335.634423755663
289,-1607.6940706222297
290,-806.660125413936
291,-1459.6953053740017
292,-1622.1454417894918
293,-801.5531920980972
294,-1158.0242886998478
295,-1632.6919836465609
296,-1635.7107819795979
297,-1283.8318045433348
298,-1065.2507178035241
299,-1339.7630298681665
300,-1022.5846564914832
301,-1069.0895574090155
302,-1369.3960597591765
303,-833.3491898524946
304,-816.1621268964757
305,-1181.038218356997
306,-1036.3485645149403
307,-1460.7024265547525
308,-1248.737543729596
309,-1495.6956559639598
310,-1236.8329955053216
311,-1175.8284426350126
312,-1251.7935961800463
313,-1034.9758848730107
314,-1454.4732872032214
315,-1263.2183090367396
316,-1265.859142294729
317,-852.9544118802481
318,-891.5699276349859
319,-1321.0787585121795
320,-1017.1445717381894
321,-1299.9220062791821
322,-1748.5480476813261
323,-1850.960940191951
324,-1387.418018669418
325,-1545.836322195286
326,-1166.6810677141916
327,-840.9250752628607
328,-1325.1563101811964
329,-1513.9695281418874
330,-908.0521777416449
331,-1101.4801565877044
332,-1542.0191843786702
333,-1573.9388065321837
334,-1618.5597009698963
335,-915.0584962834338
336,-820.9849549662299
337,-932.5510868409656
338,-809.8339025637187
339,-1261.1035597409277
340,-1259.412364049592
341,-1029.4806564879668
342,-1629.218436622317
343,-814.9103556480961
344,-1125.5380189198322
345,-1027.0145969901876
346,-800.4379724314491
347,-1151.5057215460345
348,-1750.2885697188644
349,-1134.9431887440576
350,-1536.5402974953613
351,-1383.3119175276627
352,-890.496356624884
353,-1294.3090766767166
354,-1572.8545539251552
355,-819.1886818791179
356,-861.0697002989384
357,-1443.9963794255907
358,-1099.9719148687223
359,-1151.9460842566555
360,-1117.6941512926655
361,-1381.2545496836487
362,-1456.4222628263688
363,-1207.9605697976083
364,-1367.0404554569564
365,-1511.167568747852
366,-1240.5975185240154
367,-690.2839471609617
368,-921.8517847123865
369,-1001.1302262315555
370,-1522.0579707207257
371,-1141.136790013309
372,-1508.335704936194
373,-956.9526944380768
374,-1178.5913568087597
375,-1786.1185977000773
376,-1655.674909873374
377,-1031.777185791257
378,-1659.7973643106811
379,-1226.065377064902
380,-1252.6324379270295
381,-1028.8307777605432
382,-927.3581626600029
383,-1229.814231244882
384,-1577.545709330031
385,-694.3586955487261
386,-813.8972917185079
387,-1037.3407472434667
388,-798.3322397478072
389,-1117.7860695134227
390,-1570.7392110637984
391,-1383.5418378847871
392,-994.2891386609818
393,-1081.9102811713883
394,-1228.3010120469287
395,-1206.0077168205005
396,-1030.6052848990248
397,-1615.837092346852
398,-1528.8639674106723
399,-1710.2621894219683
400,-1369.8333402123058
401,-1097.911699679689
402,-1391.850040555617
403,-1389.4447791241532
404,-973.3209864123879
405,-1179.8480369691854
406,-922.9451872106498
407,-1555.60421218164
408,-1498.4766432645297
409,-815.2264819298825
410,-707.4306309854014
411,-1682.515826677754
412,-1319.5777285598642
413,-1335.1377999930876
414,-975.1413317158812
415,-947.703554698403
416,-909.4895751516021
417,-804.4112041819783
418,-1372.148291154612
419,-1563.5416961717076
420,-1155.8498069367017
421,-1659.913128729852
422,-1614.3061693371963
423,-1035.0080099231043
424,-1586.9353829853505
425,-1324.71487639119
426,-839.7592211917678
427,-1268.415180000427
428,-914.3262299716341
429,-806.4444822225826
430,-903.7604564701763
431,-1140.4953831845773
432,-1380.2605197697321
433,-1157.737024993606
434,-1509.925558542365
435,-1794.5155261891305
436,-1302.0446339025157
437,-997.6526796203185
438,-1090.0313547739077
439,-1306.4028712852194
440,-1568.2157705673214
441,-1185.4537231750335
442,-1422.297301426654
443,-1679.9643686475688
444,-849.8496955008598
445,-1207.0651159415925
446,-735.7176175269024
447,-1650.4862421879661
448,-820.1650054335428
449,-921.8008623131741
450,-1206.2369961844572
451,-800.7732505639763
452,-1618.543483654222
453,-1514.036091507154
454,-920.1280629118517
455,-1465.0484356891848
456,-813.490679166283
457,-1182.7703582827571
458,-1315.9482750228867
459,-815.3225724292591
460,-1804.09057522677
461,-1296.9505199855892
462,-815.7470804996395
463,-1781.8198313275282
464,-1209.5479533130026
465,-1146.3525228483143
466,-1309.385469327419
467,-1181.435505611204
468,-927.6110241134145
469,-861.944370523993
470,-1526.6326026661422
471,-1355.3044908241718
472,-1031.596458956403
473,-874.5987422442098
474,-1041.5249823258043
475,-1440.938255482892
476,-1185.4770685202186
477,-1159.2763515273239
478,-1147.4302146102118
479,-1195.551260543797
480,-1333.6341399835687
481,-1589.1374186679302
482,-1615.5862546973233
483,-1536.0961863815053
484,-1134.627664311011
485,-1043.0911686825207
486,-837.3369740293733
487,-1511.6600656790729
488,-1371.6203335937405
489,-742.2564926237538
490,-1305.0464327204545
491,-1543.7231787417938
492,-704.9954424262863
493,-687.8578559465666
494,-1623.7908530118839
495,-1315.5418205030962
496,-839.898309335674
497,-805.0638377971505
498,-1663.3573993794334
499,-1219.020575010414
500,-1092.838495679193
501,-1663.9912666423113
502,-876.2643429408197
503,-1038.0358944953873
504,-1390.1643585759716
505,-1041.333140529537
506,-1422.3823457862636
507,-1244.2268531996729
508,-1659.9646999264585
509,-815.7616161263456
510,-1731.9339269025352
511,-1531.3496964647254
512,-913.2145799629551
513,-1802.4311447154387
514,-1034.9224016302512
515,-1178.858803763296
516,-1382.0282900284635
517,-1036.6952244834254
518,-1321.2769328206216
519,-901.652910860359
520,-1144.9677058874872
521,-768.3206612767373
522,-935.5971957007183
523,-823.7559592912218
524,-813.1504782632725
525,-1747.07778703004
526,-820.4690565081333
527,-1020.7355731542
528,-1302.0247351461467
529,-688.4339837354142
530,-1258.2344141547985
531,-947.1249668285615
532,-1338.7026561928858
533,-827.9280059704395
534,-1208.0088385941754
535,-1370.1189956495668
536,-1032.9743440532711
537,-813.117223286146
538,-918.1364145069814
539,-1490.6568121411199
540,-800.6928790288498
541,-1182.4614925281094
542,-1718.6568861599894
543,-1658.955356724561
544,-872.7009099722484
545,-1159.6358716611699
546,-931.7336234471478
547,-1506.9363750443706
548,-805.4970325847306
549,-1212.0791104989248
550,-1130.1426049792015
551,-1479.1530122478025
552,-943.9925208524719
553,-1160.7437824636502
554,-1038.583015886206
555,-815.0620181283105
556,-923.1301088684895
557,-1709.9056626707752
558,-923.3571141688449
559,-1040.9091526437614
560,-1380.7226221553697
561,-1059.2153920169053
562,-1148.0193029310838
563,-1084.0989067927467
564,-1529.9666877826357
565,-1249.9182371683596
